Date,Building Type,Availability,Rent,Security Deposit,Bedrooms,Bathrooms,Units in Bldg.,Full Address
06/23/2021,House,Rented,Contact office,Half Month,4,3.5,1,"12644 West Bypass Road, Fort St John, British Columbia, V1J 4M6, Canada"
06/23/2021,House,Rented,$2200 Rates Subject to Change Without Notice,1/2 months rent,5,2,1,"8800-98 Avene, Fort St John, British Columbia, V1J 7G8, Canada"
06/23/2021,House,Rented,$2200/month rent advertised online subject to change without notice,Half Month,3,2,1,"10303 115 Avenue, Fort St John, British Columbia, V1J 0P8, Canada"
06/23/2021,House,Rented,$2200/month Rates Subject to Change without Notice,1/2 Month,4,3,1,"10407 89 St, Fort St John, British Columbia, V1J 5Y2, Canada"
06/23/2021,House,Rented,$2200/month Rates Subject to Change without Notice,Half Month,6,3,1,"11324 - 94 st, Fort St John, British Columbia, V1J 3M2, Canada"
06/23/2021,House,Rented,$2350/month,Half Month,2,2,1,"10727 Northern Lights Drive, Fort St John, British Columbia, Canada"
06/23/2021,House,Rented,$1800/month Rates Subject to Change without Notice,HALF MONTH,3,2,1,"9719 114A Avenue, Fort St John, British Columbia, V1J 7B9, Canada"
06/23/2021,House,Rented,2600/month Rates Subject to Change without Notice,1/2 MONTHS RENT,5,3,1,"10603 109 Street, Fort St John, British Columbia, V1J 5P2, Canada"
06/23/2021,House,Rented,$2200/month,HALF MONTHS RENT,3,2,1,"10612 107 Street, Fort St John, British Columbia, V1J 5P1, Canada"
06/23/2021,House,Rented,$2000/month,Half Month,4,2,1,"8904 87 Avenue, Fort St John, British Columbia, V1J 4K2, Canada"
06/23/2021,House,Rented,$1500/month,Half Month,2,1,1,"10400 108 Street, Fort St John, British Columbia, V1J 0J3, Canada"
06/23/2021,House,Rented,Call Office for Rates,1/2 Months Rent,4,2.5,1,"10464 East Bypass Road, Fort St John, British Columbia"
06/23/2021,House,Rented,1500/month Rates Subject to Change without Notice,HALF MONTH,2,2,2,"10315 106 Street, Fort St John, British Columbia, V1J 4G1, Canada"
06/23/2021,House,Rented,$1750/month,1/2 Months Rent,3,1,1,"8403 89 Avenue, Fort St John, British Columbia, V1J 6E7, Canada"
06/23/2021,House,Rented,$2195/month,Half Month,4,2,1,"11986 Northern Lights Drive, Fort St John, British Columbia, V1J 7A5, Canada"
06/23/2021,House,Vacant,$1300/month,HALF MONTHS RENT,3,2,2,"9615 102 Street, Fort St John, British Columbia, V1J 4A8, Canada"
06/23/2021,Multiplex,Rented,1200/month Rates Subject to Change without Notice,HALF MONTH,3,1.5,2,"9111 101 Avenue, Fort St John, British Columbia, V1J 3Z1, Canada"
06/23/2021,Multiplex,Rented,$950/month,1/2 MONTHS RENT,2,1,2,"9111 101 Avenue, Fort St John, British Columbia, V1J 2A7, Canada"
06/23/2021,Multiplex,Rented,1395/month Rates Subject to Change without Notice,1/2 Months Rent,3,2.5,1,"#101-8304-92 Ave, Fort St John, British Columbia, V1J 6X2, Canada"
06/23/2021,Multiplex,Rented,$1095/month,Half Month,2,1,,"#1 10223 98 Avenue, Fort St John, British Columbia, V1j 0B1, Canada"
06/23/2021,Multiplex,Rented,$1000/month,1/2 MONTHS RENT,2,2,4,"11008 104A Avenue , Fort St John, British Columbia, V1J 0J3, Canada"
06/23/2021,Multiplex,Rented,$1600/month Rent advertised online subject to change without notice,Half Month,3,2.5,2,"9207 102 ave, Fort St John, British Columbia, V1J 0J9, Canada"
06/23/2021,Multiplex,Rented,$1195/month,Half Month,3,1.5,,"9019 86 Street, Fort St John, British Columbia, V1J 6X4, Canada"
06/23/2021,Multiplex,Rented,$1600/month,Half Month,3,2.5,2,"8414 85 Ave, Fort St John, British Columbia, V1J 0G3, Canada"
06/23/2021,Multiplex,Rented,$2595/month,Half Month,3,2,2,"8620 85 Street, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,$1695/month,Half Month,2,1,2,"8620 85 Street, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Vacant,$3000/month Rent advertised online subject to change without notice,Half Damage & Furniture Deposits,3,2.5,2,"8615 82 Street, Fort St John, British Columbia, V1J 0N8, Canada"
06/23/2021,Multiplex,Rented,$1750/month,Half Month,3,2,2,"8408 88 Avenue, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,$1200/month Rent advertised online subject to change without notice,Half Month,2,1,2,"8408 88 Avenue, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Vacant,2 Bed-$850/month 3 Bed-$950/month,1/2 Month,2-3,1,66,"8803 102 Ave, Fort St John, British Columbia, V1J 5G3, Canada"
06/23/2021,Multiplex,Rented,$1300/month Rates Subject to Change without Notice,1/2 Month,3,1.5,2,"7915 88 Ave, Fort St John, British Columbia, V1J 7H1, Canada"
06/23/2021,Multiplex,Vacant,$2000/month rent advertised online subject to change without notice,1/2 MONTHS RENT,3,2.5,2,"8623 82 St, Fort St John, British Columbia, V1J 0N8, Canada"
06/23/2021,Multiplex,Rented,Call office to inquire,1/2 months rent,3,,2,"11322 88A St, Fort St John, British Columbia, V1J 0C5, Canada"
06/23/2021,Multiplex,Rented,$1500/month,Half Month,3,1.5,2,"10620 88A Street, Fort St John, British Columbia, V1J 5X9, Canada"
06/23/2021,Multiplex,Rented,$1795/month rent advertised online subject to change without notice,Half Month,3,2,2,"8611 82 Street, Fort St John, British Columbia, V1J 0G9, Canada"
06/23/2021,Multiplex,Rented,$1100/month,Half Month,2,1,2,"8611 82 Street, Fort St John, British Columbia, V1J 0G9, Canada"
06/23/2021,Multiplex,Vacant,$1500/month,HALF MONTHS RENT,3,1.5,2,"11114 104a Avenue, Fort St John, British Columbia, V1J 2L3, Canada"
06/23/2021,Multiplex,Rented,$600/month,1/2 Month,2,1,4,"11106 104A AVE, Fort St John, British Columbia, v1j 0J3, Canada"
06/23/2021,Multiplex,Vacant,$1400/month,1/2 Month,3,2.5,4,"8328 92 Ave, Fort St John, British Columbia, V1J 6X2, Canada"
06/23/2021,Multiplex,Rented,$2100/month,Half Month,3,2,2,"8319 91 Street, Fort St John, British Columbia, V1J, Canada"
06/23/2021,Multiplex,Rented,$1395/month,Half Month,2,2,2,"8319 91 Street, Fort St John, British Columbia, V1J, Canada"
06/23/2021,Multiplex,Rented,CALL OFFICE,HALF MONTH,3,1.5,2,"8408 87 Street, Fort St John, British Columbia, V1J 0H4, Canada"
06/23/2021,Multiplex,Vacant,Call Office,Half Month,2,1 1/2,2,"9815 117 Avenue, Fort St John, British Columbia, V1J 2X5, Canada"
06/23/2021,Multiplex,Vacant,$1895/month,Half Month,2,2,2,"8612 85 Street, Fort St John, British Columbia, V1J 0G5, Canada"
06/23/2021,Multiplex,Rented,$1900/month,Half Month,5,3.5,2,"11007 104A Avenue, Fort St John, British Columbia, V1J 0J3, Canada"
06/23/2021,Multiplex,Vacant,$1795/month,Half Month,2,1,2,"8612 85 Street, Fort St John, British Columbia, V1J 0G5, Canada"
06/23/2021,Multiplex,Rented,$1895/month rent advertised online subject to change without notice,Half Month,3,2,2,"8324 88 Avenue, Fort St John, British Columbia,  V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,$1795/month rent advertised online subject to change without notice,,2,1,2,"8324 88 Avenue, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,$1750/month,Half Month,4,2,2,"8409 88 Street, Fort St John, British Columbia, V1J 0J6, Canada"
06/23/2021,Multiplex,Rented,$1500/month,Half Month,2,1,2,"8520 91 Street, Fort St John, British Columbia,  V1J 7H5, Canada"
06/23/2021,Multiplex,Rented,$950/month,1/2 Month,2,1,2,"9113 101 AVE , Fort St John, British Columbia, Canada"
06/23/2021,Multiplex,Rented,$1395/month Rates Subject to Change without Notice,Half Month,3,1 1/2,2,"8912 88 Street, Fort St John, British Columbia, V1J 5B8, Canada"
06/23/2021,Multiplex,Rented,$1195/month,HALF MONTH,3,2,2,"9113 101 Avenue, Fort St John, British Columbia, V1J 7C6, Canada"
06/23/2021,Multiplex,Rented,$1295/month Rates Subject to Change without Notice,Half Month,3,2,2,"8616 84 Street, Fort St John, British Columbia, V1J 0K8, Canada"
06/23/2021,Multiplex,Rented,$995/month,1/2 Month,2,1,2,"8616 84 Street, Fort St John, British Columbia, Canada"
06/23/2021,Multiplex,Rented,1650/month Rates Subject to Change without Notice,1/2 Month,3,3,2,"8306 87 Ave, Fort St John, British Columbia, V1J 0K8, Canada"
06/23/2021,Multiplex,Rented,CALL THE OFFICE,HALF MONTHS RENT,2-3,,4,"10917 104 A Avenue, Fort St John, British Columbia, V1J 2L3, Canada"
06/23/2021,Multiplex,Rented,$1995/month,1/2 MONTHS RENT,3,2,2,"8332 88 Ave, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,$1050/month rent advertised online subject to change without notice,1/2 MONTHS RENT,2,1,2,"8332 88 Avenue, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,$1600,1/2 Months Rent,3,3,2,"11310 88A Street, Fort St John, British Columbia, V1J 0C4, Canada"
06/23/2021,Multiplex,Rented,$950/month,HALF MONTHS RENT,2,1,4,"9300 98A Avenue, Fort St John, British Columbia, V1J 1R3, Canada"
06/23/2021,Multiplex,Rented,$2000/month Rates Subject to Change without Notice,HALF MONTH,3,2,2,"8628 84 Street, Fort St John, British Columbia, V1J 0K8, Canada"
06/23/2021,Multiplex,Rented,$2000/month,1/2 Months Rent,3,2,2,"8624 84 Street, Fort St John, British Columbia, V1J 0K8, Canada"
06/23/2021,Multiplex,Rented,$1425/month,Half Month,3,,2,"9212 86 Street, Fort St John, British Columbia, V1J 4M8, Canada"
06/23/2021,Multiplex,Rented,$1100/month,1/2 Month,2,1,2,"10221 97 Ave, Fort St John, British Columbia, V1J 1L5, Canada"
06/23/2021,Multiplex,Rented,2800/month Rates Subject to Change without Notice,1/2 MONTHS RENT,3,2.5,2,"8620 82 Street, Fort St John, British Columbia, V1J 0N8, Canada"
06/23/2021,Multiplex,Rented,$1700/month Rates Subject to Change without Notice,1/2 Months Rent,3,1.5,2,"11311 89A Street, Fort St John, British Columbia, V1J 0E5, Canada"
06/23/2021,Multiplex,Vacant,$2495/month rent advertised online subject to change without notice,Half Month,3,2,2,"8708 85 Street, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Vacant,$1695/month rent advertised online subject to change without notice,Half Month,2,1,2,"8708 85 Street, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Vacant,$1000/month,Half Month,2,1,2,"8916 85 Avenue, Fort St John, British Columbia, V1J 6A2, Canada"
06/23/2021,Multiplex,Rented,$1900/month rent advertised online subject to change without notice,HALF MONTH,3,2.5,,"10105 117 Avenue, Fort St John, British Columbia, V1J 0K3, Canada"
06/23/2021,Multiplex,Vacant,$2600/month,Half Month,3,2,2,"8424 88 Ave, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Vacant,$1695/month Rent advertised online subject to change without notice,1/2 Months Rent,2,1,2,"8424 88 Ave, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,$1700/month unfurnished & $2000/month furnished,1/2 Months Rent,3,2,2,"8344 and 8346 87 ave , Fort St John, British Columbia, V1J 0K8, Canada"
06/23/2021,Multiplex,Rented,$2595/month Rent advertised online subject to change without notice,Half Month,3,2,2,"8625 85 Street, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,call,1/2 Month,3,1.5,1,"10410 89 St, Fort St John, British Columbia, V1J 5Y2, Canada"
06/23/2021,Multiplex,Vacant,$1965/month Rent advertised online subject to change without notice,Half Month,2,1,2,"8625 85 Street, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Vacant,"$1650/month unfurnished, $2200/month furnished",HALF Month,3,2,2,"11024 102 Avenue, Fort St John, British Columbia, V1J 2E8, Canada"
06/23/2021,Multiplex,Rented,$2800/month Rates Subject to Change without Notice,1/2 Months Rent,3,2.5,2,"8616 82 Street, Fort St John, British Columbia, V1J 0N8, Canada"
06/23/2021,Multiplex,Vacant,$1100/month,Half Month,1,1,2,"11008 101 Avenue, Fort St John, British Columbia, V1J 2C3, Canada"
06/23/2021,Multiplex,Rented,Call Office,Half Month,3,2.5,2,"10103 117 ave, Fort St John, British Columbia, V1J 0M8, Canada"
06/23/2021,Multiplex,Rented,Call Office,1/2 Month,2,1,2,"8915 81A Street, Fort St John, British Columbia, V1J 6S5, Canada"
06/23/2021,Multiplex,Rented,1275/month Rates Subject to Change without Notice,1/2 MONTHS RENT,3,1.5,2,"8915 81A Street, Fort St John, British Columbia, V1J 6S5, Canada"
06/23/2021,Multiplex,Vacant,1 Bedroom $625/month & 3 Bedroom $850/month,,1-3,1,6,"10215 98 Street, Fort St John, British Columbia, V1J 3V4, Canada"
06/23/2021,Multiplex,Rented,$2500/month rent advertised online subject to change without notice,Half Month,3,2.5,,"10104 114A Avenue, Fort St John, British Columbia, V1J 0K5, Canada"
06/23/2021,Multiplex,Rented,$2000/month Rates Subject to Change without Notice,Half Month,3,2.5,2,"10009 117 Avenue, Fort St John, British Columbia, V1J 0K3, Canada"
06/23/2021,Multiplex,Rented,$1350/month rent advertised online subject to change without notice,Half Month,2,2.5,,"10104 114A Avenue, Fort St John, British Columbia, V1J 0K5, Canada"
06/23/2021,Multiplex,Rented,1650/month Rates Subject to Change without Notice,1/2 Months Rent,3,2.5,,"10104 114A Avenue, Fort St John, British Columbia"
06/23/2021,Multiplex,Rented,$2000/month Rates Subject to Change without Notice,HALF MONTH,3,2.5,,"10104 114A Avenue, Fort St John, British Columbia, V1J 0K5, Canada"
06/23/2021,Multiplex,Rented,$2200/month Rates Subject to Change without Notice,1/2 MONTHS RENT,3,2.5,,"10104 114A Avenue, Fort St John, British Columbia, V1J 0K5, Canada"
06/23/2021,Multiplex,Rented,$1700/month rent advertised online subject to change without notice,Half Month,3,2.5,,"10104 114A Avenue, Fort St John, British Columbia, V1J 0K5, Canada"
06/23/2021,Multiplex,Rented,2600/month Rates Subject to Change without Notice,1/2 Months Rent,3,2.5,,"10104 114A Avenue, Fort St John, British Columbia, V1J 0K5, Canada"
06/23/2021,Multiplex,Rented,$1500/month Rates Subject to Change without Notice,1/2 Months Rent,3,1.5,2,"7922 98 Avenue, Fort St John, British Columbia, V1J 6N9, Canada"
06/23/2021,Multiplex,Rented,$1550/month Rates Subject to Change without Notice,Half Month,3,2.5,2,"8313 87 Avenue, Fort St John, British Columbia, V1J 0K7, Canada"
06/23/2021,Multiplex,Rented,$975/month,Half Month,1,1,10,"10303 97 Ave, Fort St John, British Columbia, V1J 1L5, Canada"
06/23/2021,Multiplex,Rented,1800/month Rates Subject to Change without Notice,1/2 Month,3,2.5,2,"9904 117 Avenue, Fort St John, British Columbia, V1J 0E9, Canada"
06/23/2021,Multiplex,Rented,1290/month Rates Subject to Change without Notice,1/2 Months Rent,2,1,2,"8319 87 Avenue, Fort St John, British Columbia, V1J 0K7, Canada"
06/23/2021,Multiplex,Rented,1000/month Rates Subject to Change without Notice,HALF MONTH,2,1.5,2,"9716 94 St, Fort St John, British Columbia, V1J 1R4, Canada"
06/23/2021,Multiplex,Vacant,1000/month Rates Subject to Change without Notice,Half Month,3,1.5,4,"9429 96 Ave, Fort St John, British Columbia, V1J 1K2, Canada"
06/23/2021,Multiplex,Vacant,$1350/month,1/2 Month,3,1.5,22,"112th Ave & 89A St, Fort St John, British Columbia, V1J 5N4, Canada"
06/23/2021,Multiplex,Vacant,$1600/month FURNISHED,1/2 Month,3,2.5,7,"10303 112 street, Fort St John, British Columbia, V1J 0N6, Canada"
06/23/2021,Multiplex,Rented,$2500 FURNISHED or $1995 UNFURNISHED,Full Month,3,2.5,2,"8304 88 Ave, Fort St John, British Columbia, V1J 0N9, Canada"
06/23/2021,Multiplex,Vacant,$900/month,1/2 Month,2,1,2,"8720 92A St, Fort St John, British Columbia, V1J 3J6, Canada"
06/23/2021,Multiplex,Rented,$1595/month: Rent advertised online subject to change without notice,1/2 Months Rent,2,1,,"8636 85 STREET, FORT ST JOHN, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,$3100/month,Half Month,3,2,2,"8636 85 Street, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,$1900/month,Half Month,3,2,3,"8323 88 Avenue, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,$1000-$1200/month,Half Month,1,1,3,"8323 88 Avenue, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,$1000/month rent advertised online subject to change without notice,1/2 Month,2,1,2,"10919 105 ave, Fort St John, British Columbia, V1J 0L2, Canada"
06/23/2021,Multiplex,Rented,$1200/month,1/2 Months Rent,3,1.5,1,"8906 107A Ave, Fort St John, British Columbia, V1J 5Z1, Canada"
06/23/2021,Multiplex,Rented,$2310/month,Half Month,6,2,2,"5740 242 Road, Fort St John, British Columbia, Canada"
06/23/2021,Multiplex,Rented,$800/month,1/2 Month,1,1,3,"10307 100 Ave, Fort St John, British Columbia, V1J 6B9, Canada"
06/23/2021,Multiplex,Vacant,Call the office,1/2 Month,3,1.5,5,"9019 86 St, Fort St John, British Columbia, V1J 6X4, Canada"
06/23/2021,Multiplex,Rented,Call Office,1/2 Month,3,2.5,1,"7916 88 Avenue, Fort St John, British Columbia, V1J 7G9, Canada"
06/23/2021,Multiplex,Rented,$1200,1/2 MONTHS RENT,3,2,1,"10505 88A Street, Fort St John, British Columbia, V1J 5X8, Canada"
06/23/2021,Multiplex,Vacant,FURNISHED UNITS ONLY$1550/month Rates Subject to Change without Notice,Half Month,2,2,7,"10904 102 ave, Fort St John, British Columbia, V1J 0M3, Canada"
06/23/2021,Multiplex,Rented,1900/month Rates Subject to Change without Notice,1/2 Months Rent,3,2.5,1,"11304 88A St, Fort St John, British Columbia, V1J 0C5, Canada"
06/23/2021,Multiplex,Vacant,$995/month,1/2 Month,3,1,4,"9806 95 St, Fort St John, British Columbia, V1J 1R6, Canada"
06/23/2021,Multiplex,Rented,$1600/month Rates Subject to Change without Notice,HALF MONTHS RENT,3,2,1,"9905 117 Avenue, Fort St John, British Columbia, V1J 0E9, Canada"
06/23/2021,Multiplex,Rented,$1100/month Rates Subject to Change without Notice,Half Month,3,1,2,"9721 93 St, Fort St John, British Columbia, V1J 5R9, Canada"
06/23/2021,Multiplex,Rented,1200/month Rates Subject to Change without Notice,1/2 Month,3,1.5,1,"10403 90 St, Fort St John, British Columbia, V1J 6S6, Canada"
