Date,Building Type,Availability,Rent,Security Deposit,Bedrooms,Bathrooms,Units in Bldg.,Full Address
06/23/2021,Multiplex,Rented,$1470/month Rates Subject to Change without Notice,1/2 Month,3,2.5,2,"8508 86 St, Fort St John, British Columbia, V1J 6Y7, Canada"
06/23/2021,Multiplex,Rented,1495/month Rates Subject to Change without Notice,1/2 Month,2,1,2,"10415 98 Street, Fort St John, British Columbia, V1J 3V7, Canada"
06/23/2021,Multiplex,Rented,1095/month Rates Subject to Change without Notice,Half Month,2,1,2,"10415 98 st, Fort St John, British Columbia, V1J 3V7, Canada"
06/23/2021,Multiplex,Vacant,975/month Rates Subject to Change without Notice,HALF MONTH,2,1.5,7,"9811 110 Avenue, Fort St John, British Columbia, V1J 2S9, Canada"
06/23/2021,Multiplex,Rented,$1600/month rent advertised online subject to change without notice,Half Month,3,2.5,2,"11111 108 Street, Fort St John, British Columbia, V1J 6H1, Canada"
06/23/2021,Multiplex,Rented,$2000/month Rates Subject to Change without Notice,1/2 Months Rent,3,2.5,2,"10019 117 Avenue, Fort St John, British Columbia, V1J 0K3, Canada"
06/23/2021,Multiplex,Rented,$1800/month,Half Month,2,1,2,"8428 88 Avenue, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Vacant,$2000/month,Half Month,3,2.5,2,"10017 117 Avenue, Fort St John, British Columbia, V1J 0K3, Canada"
06/23/2021,Multiplex,Rented,$1395/month,Half Month,2,1,2,"8428 88 Avenue, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,2200/month Rates Subject to Change without Notice,Half Month,3,2,1,"11308 88A St, Fort St John, British Columbia, V1J 0C4, Canada"
06/23/2021,Multiplex,Rented,$2700/month Rent advertised online subject to change without notice,Half Damage & Furniture Deposits,3,2,2,"8327 88 Avenue, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,$1900/month Rent advertised online subject to change without notice,Half Damage & Furniture Deposits,2,1,2,"8327 88 Avenue, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,1850/month Rates Subject to Change without Notice,Half Month,3,2.5,2,"10108 117 Avenue, 10110 117 Avenue, Fort St John, British Columbia, V1J 0K3, Canada"
06/23/2021,Multiplex,Rented,$1850/month,Half Month,3,2,2,"8624 85 Street, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,$1595/month,Half Month,2,1,2,"8624 85 Street, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Vacant,$2200/month,Half Month,2,1.5,2,"9707 114a Avenue, Fort St John, British Columbia, V1J 7B9, Canada"
06/23/2021,Multiplex,Rented,$1250/month furnished Rates online subject to change without notice,Half Month,1,1,2,"9707 114a Avenue, Fort St John, British Columbia, V1J 7B9, Canada"
06/23/2021,Multiplex,Rented,$1595/month,Half Month,4,2.5,2,"7913 98 Avenue, Fort St John, British Columbia, V1J 4L5, Canada"
06/23/2021,Multiplex,Vacant,$1245/month,Half Month,2,2,7,"11008 102 Avenue, Fort St John, British Columbia, V1J 2E8, Canada"
06/23/2021,Multiplex,Vacant,$1890/month,Half Month,2,1,2,"8616 85 Street, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,$2195/month,Half Month,2,2,2,"8616 85 Street, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Vacant,$1595/month,1/2 Months Rent,3,2,4,"10115 97 AVENUE, Fort St John, British Columbia, V1J 1N8, Canada"
06/23/2021,Multiplex,Rented,$1595/month rent advertised online subject to change without notice,Half Month,3,2,2,"8412 88 Avenue, Fort St John, British Columbia, V1J 0J6, Canada"
06/23/2021,Multiplex,Rented,$1195/month,Half Month,2,1,2,"8412 88 Avenue, Fort St John, British Columbia, V1J 0J6, Canada"
06/23/2021,Multiplex,Rented,$1800/month,Half Month,3,2.5,2,"8410 88 Street, Fort St John, British Columbia, V1J 0J6, Canada"
06/23/2021,Multiplex,Vacant,800/month Rates Subject to Change without Notice,1/2 Month,3,1,6,"9619 102 St, Fort St John, British Columbia, V1J 4A9, Canada"
06/23/2021,Multiplex,Rented,$2150/month,,4,2,2,"11110 102 Avenue, Fort St John, British Columbia, V1J 0M1, Canada"
06/23/2021,Multiplex,Rented,$1700/month,Half Month,3,1.5,,"10858 102 Street, Fort St John, British Columbia, V1J 4X7, Canada"
06/23/2021,Multiplex,Rented,2000/month Rates Subject to Change without Notice,HALF MONTH,3,2.5,2,"10021 117 Avenue, Fort St John, British Columbia, V1J 0K3, Canada"
06/23/2021,Multiplex,Rented,$1750/month rent advertised online subject to change without notice,Half Month,3,2.5,,"10836 102 Street, Fort St John, British Columbia, V1J 4X7, Canada"
06/23/2021,Multiplex,Rented,$1750/month,Half Month,3,2.5,,"10824 102 Street, Fort St John, British Columbia, V1J 4X7, Canada"
06/23/2021,Multiplex,Rented,Call Office,Half Month,2,1,6,"10223 98 avenue, Fort St John, British Columbia, V1J 0B1, Canada"
06/23/2021,Multiplex,Vacant,$1200/month,Half Month,2,2,4,"11010 104A Avenue, Fort St John, British Columbia, V1J 0J3, Canada"
06/23/2021,Multiplex,Rented,$1000/month,Half Month,2,1,,"11010 104A Avenue, Fort St John, British Columbia, V1J 0J3, Canada"
06/23/2021,Multiplex,Vacant,$995/month Rates Subject to Change without Notice,Half Month,3,2,5,"8220 92 AVE, Fort St John, British Columbia, V1J 6X2, Canada"
06/23/2021,Multiplex,Vacant,1 bed - $1250/month,1/2 Months Rent,3,2,,"11703 102 Street, Fort St John, British Columbia, V1J 7J2, Canada"
06/23/2021,Multiplex,Vacant,$1750/month rent advertised online subject to change without notice1,1/2 MONTHS RENT,4,2,4,"11703 102 Street, Fort St John, British Columbia, V1J 7J2, Canada"
06/23/2021,Multiplex,Vacant,$1350/month,1/2 Months Rent,2,2,7,"11703 102 Street, Fort St John, British Columbia, V1J 7J2, Canada"
06/23/2021,Multiplex,Vacant,$1250/month unfurnished & $1550/month furnished,1/2 Months Rent,1,1,5,"11703 102 Street, Fort St John, British Columbia, V1J 7J2, Canada"
06/23/2021,Multiplex,Vacant,$1295/month Rates Subject to Change without Notice,Half Month,3,1.5,2,"8110/8108 96 Ave, Fort St John, British Columbia, V1J 1J6, Canada"
06/23/2021,Multiplex,Vacant,$1295/month Rates Subject to Change without Notice,1/2 Month,3,1.5,2,"8811 79 St, Fort St John, British Columbia, V1J 6W8, Canada"
06/23/2021,Multiplex,Rented,$1250/month Rent advertised online subject to change without notice,Half Month,3,2,2,"8323 87 Avenue, Fort St John, British Columbia, V1J 3B2, Canada"
06/23/2021,Multiplex,Rented,895/month Rates Subject to Change without Notice,1/2 Month,2,1,2,"8323 87 Avenue, Fort St John, British Columbia, V1J 3B2, Canada"
06/23/2021,Multiplex,Rented,1500/month Rates Subject to Change without Notice,1/2 Month Rent,3,1.5,1,"7922 (B) 98 Avenue, Fort St John, British Columbia, V1J 6N9, Canada"
06/23/2021,Multiplex,Vacant,$1900/month,Half Month,3,2.5,2,"8328 87 Avenue, Fort St John, British Columbia, V1J 0K8, Canada"
06/23/2021,Multiplex,Rented,$1695/month Rent advertised online subject to change without notice,Half Damage & Furniture Deposits,3,2,2,"8312 88 Avenue, Fort St John, British Columbia, V1J 0N9, Canada"
06/23/2021,Multiplex,Rented,$1295/month Rent advertised online subject to change without notice,Half Damage & Furniture Deposits,2,1,2,"8312 88 Avenue, Fort St John, British Columbia, V1J 0N9, Canada"
06/23/2021,Multiplex,Rented,$900/month,Half Month,2,1,,"11003 104A Ave, Fort St John, British Columbia, V1J 0J3, Canada"
06/23/2021,Multiplex,Rented,$2200/month rent advertised online subject to change without notice,Half Month,3,2.5,2,"8619 82 st, Fort St John, British Columbia, V1J 0N8, Canada"
06/23/2021,Multiplex,Rented,$1500/month Rates Subject to Change without Notice,1/2 Months Rent,3,2.5,2,"10151 102 Avenue, Fort St John, British Columbia, V1J 2E1, Canada"
06/23/2021,Multiplex,Rented,$1200/month,Half Month,2-3,1-2,2,"8615-83 Street, Fort St John, British Columbia, V1J 0G8, Canada"
06/23/2021,Multiplex,Rented,$1750/month Rates Subject to Change without Notice,1/2 Month,3,2.5,2,"8707 83 Street, Fort St John, British Columbia, V1J 0G8, Canada"
06/23/2021,Multiplex,Rented,1650/month Rates Subject to Change without Notice,HALF MONTH,3,1.5,2,"8315 87 Avenue, Fort St John, British Columbia, V1J 3B2, Canada"
06/23/2021,Multiplex,Rented,$1100/month rent advertised online subject to change without notice,Half Month,2,1,2,"10107 103 Avenue, Fort St John, British Columbia, V1J 2H4, Canada"
06/23/2021,Multiplex,Rented,$700/month Online Advertised Rates Subject to Change without Notice,1/2 MONTHS RENT,2,1,2,"10107 103 Avenue, Fort St John, British Columbia, V1J 2H4, Canada"
06/23/2021,Multiplex,Rented,$1000/month rent advertised online subject to change without notice,1/2 MONTHS RENT,2,1,2,"8723 74 Street, Fort St John, British Columbia, V1J 2Y5, Canada"
06/23/2021,Multiplex,Rented,$1295/month Rent advertised online subject to change without notice,Half Month,3,1.5,1,"10622 88 A Street, Fort St John, British Columbia, V1J 5X9, Canada"
06/23/2021,Multiplex,Rented,$2000/month Rates Subject to Change without Notice,1/2 Months Rent,3,2.5,2,"10011 117 Avenue, Fort St John, British Columbia, V1J 0K3, Canada"
06/23/2021,Multiplex,Rented,$2295/month,HALF MONTH,3,2,2,"8411 88 Avenue, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Rented,$1695/month,1/2 MONTHS RENT,2,1,2,"8411 88 Ave, Fort St John, British Columbia, V1J 0S2, Canada"
06/23/2021,Multiplex,Vacant,$1950/month,Half Month,4,2,2,"8716 74 Street, Fort St John, British Columbia, V1J 7J6, Canada"
06/23/2021,Multiplex,Vacant,$1195/month rent advertised online subject to change without notice,1/2 MONTHS RENT,2,1,2,"8803 74 Street, Fort St John, British Columbia, V1J 2Y5, Canada"
06/23/2021,Multiplex,Vacant,2 Bed-$850/month & 3 Bed-$950/month,1/2 Months Rent,2,1,66,"8803 102 Avenue, Fort St John, British Columbia, V1J 5G4, Canada"
06/23/2021,House,Rented,$800/month,1/2 Month,2,1,2,"9615 102 Street, Fort St John, British Columbia, v1j 0c9, Canada"
06/23/2021,House,Rented,1495/month Rates Subject to Change without Notice,1/2 MONTHS RENT,3,2,2,"8803 74 Street, Fort St John, British Columbia, v1j 2y5, Canada"
06/23/2021,House,Rented,2300/month Rates Subject to Change without Notice,1/2 Months Rent,3,2,1,"10508 109A Street, Fort St John, British Columbia, V1J 5P2, Canada"
06/23/2021,House,Rented,1850/month Rates Subject to Change without Notice,1/2 Months Rent,4,2,1,"10423 104 Avenue, Fort St John, British Columbia, V1J 2K9, Canada"
06/23/2021,House,Rented,3500/month Rates Subject to Change without Notice,1/2 Months Rent,4,3,1,"10583 86 Street, Fort St John, British Columbia, V1J 2A4, Canada"
06/23/2021,House,Rented,$1895/month rent advertised online subject to change without notice,Half Month,3,2,1,"9220 115 Avenue, Fort St John, British Columbia, V1J 2X9, Canada"
06/23/2021,House,Rented,$2100/month rent advertised online subject to change without notice,Half Month,4,2,,"9003 78a Street, Fort St John, British Columbia, V1J 3B5, Canada"
06/23/2021,House,Rented,$2000/month Rent advertised online subject to change without notic,1/2 Months Rent,5,2.5,1,"9758 Swanson Street, Fort St John, British Columbia, V1J 5T8, Canada"
06/23/2021,House,Rented,2600/month Rates Subject to Change without Notice,1/2 Months Rent,6,3.5,1,"9207 89 Street, Fort St John, British Columbia, V1J 4Z3, Canada"
06/23/2021,House,Rented,$2800/month,1/2 Months Rent,7,2.5,1,"9801 Swanson Street, Fort St John, British Columbia, V1J 5T8, Canada"
06/23/2021,House,Rented,$1250/month Rates Subject to Change without Notice,Half Month,3,1.5,2,"9208 87 Street, Fort St John, British Columbia, V1J 5T1, Canada"
06/23/2021,House,Rented,$2650/month rent advertised online subject to change without notice,Half Month,4,2.5,1,"11203 103 street, Fort St John, British Columbia, V1J 4W7, Canada"
06/23/2021,House,Rented,$850 /month,1/2 MONTHS RENT,2,1,2,"9208 87 Street, Fort St John, British Columbia, V1J 5T1, Canada"
06/23/2021,House,Rented,$1900/month Rates Subject to Change without Notice,1/2 Month,5,2,1,"8512 95 Avenue, Fort St John, British Columbia, V1J 1H2, Canada"
06/23/2021,House,Rented,$2100/month,Half Month,5,3.5,1,"9208 87 Street, Fort St John, British Columbia, V1J 5T1, Canada"
06/23/2021,House,Rented,2400/month Rates Subject to Change without Notice,Half Month,4,2,1,"10412 112 avenue, Fort St John, British Columbia, V1J 2W7, Canada"
06/23/2021,House,Rented,3500/month,1/2 Months Rent,3,2.5,1,"11759 261 Rd , Fort St John, British Columbia, v1j , Canada"
06/23/2021,House,Vacant,$1900/month Rent advertised online subject to change without notice,1/2 Month,3,2,1,"9011 118A Ave, Fort St John, British Columbia, V1J 6H5, Canada"
06/23/2021,House,Rented,$2500/month rent advertised online subject to change without notice,Half Month,4,3,1,"10920 108 Street, Fort St John, British Columbia, V1J 0E3, Canada"
06/23/2021,House,Rented,1400/month Rates Subject to Change without Notice,1/2 Month,3,1,1,"8804 92A St, Fort St John, British Columbia, V1J 3J6, Canada"
06/23/2021,House,Rented,$2700/month,Half Month,5,4,1,"6145 Rowantree Avenue, Fort St John, British Columbia, V0C 1C0, Canada"
06/23/2021,House,Rented,2200/month Rates Subject to Change without Notice,1/2 Months Rent,5,2,1,"8923 88 Street, Fort St John, British Columbia, V1J 5B1, Canada"
06/23/2021,House,Rented,3000/month Rates Subject to Change without Notice,1/2 Months Rent,3,2,2,"8204 88 Avenue, Fort St John, British Columbia, V1J 0N9, Canada"
06/23/2021,House,Rented,2000/month Rates Subject to Change without Notice,1/2 Months Rent,2,1,2,"8204 88 Avenue, Fort St John, British Columbia, V1J 0N9, Canada"
06/23/2021,House,Rented,$2500/month Rates Subject to Change without Notice,1/2 Months Rent,5,3,1,"9620 113 Avenue, Fort St John, British Columbia, V1J 2X2, Canada"
06/23/2021,House,Rented,$2595/month,Half Month,4,3,1,"8708 111 Avenue, Fort St John, British Columbia, V1J 0B7, Canada"
06/23/2021,House,Rented,$2595/month,Half Month,6,3,1,"9007 111 Avenue, Fort St John, British Columbia, V1J 6Z2, Canada"
06/23/2021,House,Rented,$2300/month Rates Subject to Change without Notice,1/2 Months Rent,3,2.5,1,"8604 113 Avenue, Fort St John, British Columbia, V1J 0E2, Canada"
06/23/2021,House,Rented,$1800/month,Half Month,4,2,1,"8815 88 Street, Fort st John, British Columbia, V1J 5A3, Canada"
06/23/2021,House,Rented,$2200/month rent advertised online subject to change without notice,Half Month,3,2,1,"5817 Baldonnel Road, Fort St John, British Columbia, V0C 1C6, Canada"
06/23/2021,House,Rented,Call Office,Half Month,3,2.5,,"7908 97 Avenue, Fort St John, British Columbia, V1J 1L6, Canada"
06/23/2021,House,Rented,1400/month Rates Subject to Change without Notice,1/2 Months Rent,2,1,1,"9154 Old Fort Road, Fort St John, British Columbia, V0C 1H0, Canada"
06/23/2021,House,Rented,$1200/month,Half Month,3,1,,"8520 97 Avenue, Fort St John, British Columbia, V1J 1M4, Canada"
06/23/2021,House,Rented,1500/month Rates Subject to Change without Notice,1/2 Months Rent,2,1,1,"8919 115 Avenue, Fort St John, British Columbia, V1J 0A5, Canada"
06/23/2021,House,Rented,1200/month Rates Subject to Change without Notice,1/2 Months Rent,2,3,1,"10348 East Bypass Rd, Fort St John, British Columbia, Canada"
06/23/2021,House,Rented,$1400/month,Half Month,2,1,1,"8216 94 Avenue, Fort St John, British Columbia, V1J 1E8, Canada"
06/23/2021,House,Rented,$1700/month Rates Subject to Change without Notice,1/2 Months Rent,3,2,1,"8212 86 Avenue, Fort St John, British Columbia, V1J 0G8, Canada"
06/23/2021,House,Rented,$3000/month,Half Month,5,2.5,1,"8916 89 Avenue, Fort St John, British Columbia, V1J 4Z2, Canada"
06/23/2021,House,Rented,1500/month Rates Subject to Change without Notice,1/2 Month,3,1.5,1,"9515 98A Ave, Fort St John, British Columbia, V1J 1R6, Canada"
06/23/2021,House,Rented,$2600/month rent advertised online subject to change without notice,Half Month,5,3,1,"11327 86A Street, Fort St John, British Columbia, V1J 0G1, Canada"
06/23/2021,House,Rented,$1200/month Rates Subject to Change without Notice,1/2 Month,2,1,1,"9311 104 Ave, Fort St John, British Columbia, V1J 2J6, Canada"
06/23/2021,House,Vacant,Call,1/2 Month,3/3,1,2,"8809-103 a Ave, Fort St John, British Columbia, V1J 6P1, Canada"
06/23/2021,House,Rented,$3000/month rent advertised online subject to change without notice,Full Month,5,2.5,1,"9515 82 Street, Fort St John, British Columbia, V1J 3C7, Canada"
06/23/2021,House,Rented,$1650/month Rates Subject to Change without Notice,HALF MONTH,3,2,2,"10919 105 Avenue, Fort St John, British Columbia, V1J 0L2, Canada"
06/23/2021,House,Rented,$2300/month,1/2 Month Rent,5,3,1,"8912 81 Street, Fort St John, British Columbia, V1J 5R9, Canada"
06/23/2021,House,Rented,$2000/month rent advertised online subject to change without notice,Half Month,4,2.5,1,"10693 255 Road, Fort St John, British Columbia, V0C 1C0, Canada"
06/23/2021,House,Rented,1700/month Rates Subject to Change without Notice,1/2 Month,4,2,1,"10903 96 Street, Fort St John, British Columbia, V1J 3R5, Canada"
06/23/2021,House,Rented,950/month Rates Subject to Change without Notice,1/2 MONTHS RENT,2,1,2,"10315 106 Street, Fort St John, British Columbia, V1J 4G1, Canada"
06/23/2021,House,Rented,$2400/month Rent advertised online subject to change without notice,Half Month,4,2,1,"9519 111 Ave, Fort St John, British Columbia, V1J 2T9, Canada"
06/23/2021,House,Rented,$2500/month,1/2 Months Rent,3,2,1,"8319 99 Avenue, Fort St John, British Columbia, V1J 1S8, Canada"
06/23/2021,House,Rented,1495/month Rates Subject to Change without Notice,1/2 MONTHS RENT,3,2,2,"8723 74 Street, Fort St John, British Columbia, V1J 2Y5, Canada"
06/23/2021,House,Rented,$2300/month,Half Month,4,3,1,"8819 96A Avenue, Fort St John, British Columbia, V1J 0A3, Canada"
06/23/2021,House,Vacant,Call Office,Half Month,6,6,1,"9063 Old Fort Loop, Fort St John, British Columbia, V1J 4M7, Canada"
